Site_num,Site_name,County,Lat,Long,green_pop,prop_identifier,prop_ownership,survey_date,data_source,notes,species,num_adult,num_juv_subad_yrling,num_hatchling,num_eggs,total_ANAE_or_PLME,nest
58,Barn Trail-1A,Transylvania,35.175694,-82.615402,BRE,DuPont SRF,NCFS,10/17/09,NCWRC,1 adult ANAE,Green Salamander,1,,,,1,FALSE
58,Barn Trail-1A,Transylvania,35.175694,-82.615402,BRE,DuPont SRF,NCFS,4/17/12,NCWRC,1 adult ANAE,Green Salamander,1,,,,1,FALSE
58,Barn Trail-1A,Transylvania,35.175694,-82.615402,BRE,DuPont SRF,NCFS,3/30/10,NCWRC,"1 adult ANAE, 1 juvenile ANAE",Green Salamander,1,1,,,2,FALSE
58,Barn Trail-1A,Transylvania,35.175694,-82.615402,BRE,DuPont SRF,NCFS,7/22/10,NCWRC,"1 juv PLME, flourescent powder still bright",Southern Gray-cheeked Salamander,,1,,,1,FALSE
58,Barn Trail-1A,Transylvania,35.175694,-82.615402,BRE,DuPont SRF,NCFS,9/10/10,NCWRC,1 PLME,Southern Gray-cheeked Salamander,1,,,,1,FALSE
58,Barn Trail-1A,Transylvania,35.175694,-82.615402,BRE,DuPont SRF,NCFS,5/11/12,NCWRC,"1 small adult ANAE, extracted and tail snipped (vial #17)",Green Salamander,1,,,,1,FALSE
58,Barn Trail-1A,Transylvania,35.175694,-82.615402,BRE,DuPont SRF,NCFS,11/4/09,NCWRC,none found,,,,,,0,
58,Barn Trail-1A,Transylvania,35.175694,-82.615402,BRE,DuPont SRF,NCFS,11/14/09,NCWRC,none found,,,,,,0,
58,Barn Trail-1A,Transylvania,35.175694,-82.615402,BRE,DuPont SRF,NCFS,11/28/09,NCWRC,none found,,,,,,0,
58,Barn Trail-1A,Transylvania,35.175694,-82.615402,BRE,DuPont SRF,NCFS,5/24/10,NCWRC,none found,,,,,,0,
58,Barn Trail-1A,Transylvania,35.175694,-82.615402,BRE,DuPont SRF,NCFS,3/2/11,NCWRC,none found,,,,,,0,
58,Barn Trail-1A,Transylvania,35.175694,-82.615402,BRE,DuPont SRF,NCFS,6/27/11,NCWRC,none found,,,,,,0,
58,Barn Trail-1A,Transylvania,35.175694,-82.615402,BRE,DuPont SRF,NCFS,7/10/11,NCWRC,none found,,,,,,0,
58,Barn Trail-1A,Transylvania,35.175694,-82.615402,BRE,DuPont SRF,NCFS,6/29/12,NCWRC,none found,,,,,,0,
