Site_num,Survey_ID,Site_name,County,Lat,Long,green_pop,prop_identifier,prop_ownership,survey_date,data_source,notes,species,num_adult,num_unk_ANAE,num_juv_subad_yrling,num_hatchling,num_eggs,total_ANAE,total_ANAE_or_PLME,nest,year,J_date,nndist,new_flag1
1405,1,Rhododendron Trail,Macon,35.05581217,-83.18478121,BRE,private,private,1948-06-01,"NCNHP, HBS","historical rec. from HBS; at least 1 ANAE collected in 1948, month/day unk.",Green Salamander,NA,1,NA,NA,NA,1,1,FALSE,1948,153,95.06109099,1405
1352,2,Granite City,Jackson,35.04380445,-83.13822413,BRE,Nantahala NF,USFS,1948-06-22,Field Mus Nat Hist,ANAE eggs collected for museum,Green Salamander,1,NA,NA,NA,3,1,1,TRUE,1948,174,1252.233602,1352
1405,3,Rhododendron Trail,Macon,35.05581217,-83.18478121,BRE,private,private,1948-08-20,FMNH,ANAE eggs (and females?) collected for museum,Green Salamander,1,1,NA,NA,3,2,1,TRUE,1948,233,95.06109099,1405
1352,4,Granite City,Jackson,35.04380445,-83.13822413,BRE,Nantahala NF,USFS,1948-09-15,NCNHP,"2 ad. ANAE, w/2 egg clutches collected as specimens",Green Salamander,2,NA,NA,NA,2,2,2,TRUE,1948,259,1252.233602,1352
1405,5,Rhododendron Trail,Macon,35.05581217,-83.18478121,BRE,private,private,1949-04-21,Kansas Biodiversity Institute,9 ANAE collected.  Locality reference very vague but vicinity of Rhodo Trail (~1 mi. NE Highlands),Green Salamander,9,NA,NA,NA,NA,9,9,FALSE,1949,111,95.06109099,1405
1374,6,Hwy 28_historic,Macon,35.02681408,-83.18508305,BRE,Nantahala NF,USFS,1949-07-07,FMNH,2 ANAE collected for museum,Green Salamander,2,NA,NA,NA,NA,2,2,FALSE,1949,188,23.85313317,1374
1374,7,Hwy 28_historic,Macon,35.02681408,-83.18508305,BRE,Nantahala NF,USFS,1949-08-02,FMNH,1 ANAE collected for museum,Green Salamander,1,NA,NA,NA,NA,1,1,FALSE,1949,214,23.85313317,1374
1374,8,Hwy 28_historic,Macon,35.02681408,-83.18508305,BRE,Nantahala NF,USFS,1949-09-05,FMNH,1 ANAE w/20 eggs collected for museum,Green Salamander,1,NA,NA,NA,20,1,1,TRUE,1949,248,23.85313317,1374
1405,9,Rhododendron Trail,Macon,35.05581217,-83.18478121,BRE,private,private,1949-09-05,FMNH,1 ANAE collected for museum,Green Salamander,1,NA,NA,NA,NA,1,1,FALSE,1949,248,95.06109099,1405
1374,10,Hwy 28_historic,Macon,35.02681408,-83.18508305,BRE,Nantahala NF,USFS,1949-09-08,FMNH,1 ANAE collected for museum,Green Salamander,1,NA,NA,NA,NA,1,1,FALSE,1949,251,23.85313317,1374
