system:index,20000708_spei180d,20010709_spei180d,20020709_spei180d,20030709_spei180d,20040708_spei180d,20050709_spei180d,20060709_spei180d,20070709_spei180d,20080708_spei180d,20090709_spei180d,20100709_spei180d,20110709_spei180d,20120708_spei180d,20130709_spei180d,20140709_spei180d,20150709_spei180d,20160708_spei180d,20170709_spei180d,20180709_spei180d,20190709_spei180d,20200708_spei180d,20210709_spei180d,new_flag1,.geo
00000000000000000005_0,-0.71,-0.39,-0.54,1.69,-0.46,1.01,-1.28,-1.69,-0.9,-0.03,0.24,-0.24,-0.62,2.09,-0.32,-1.01,-0.46,0.71,1.69,0.8,1.45,0.03,2464,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,-1.13,-0.54,-0.71,1.45,-0.32,1.28,-1.28,-1.69,-0.8,-0.03,0.17,-0.17,-0.62,2.09,-0.39,-0.46,-1.45,0.24,1.69,1.28,1.28,0.24,1270,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,-1.13,-0.54,-0.71,1.45,-0.32,1.28,-1.28,-1.69,-0.8,-0.03,0.17,-0.17,-0.62,2.09,-0.39,-0.46,-1.45,0.24,1.69,1.28,1.28,0.24,1339,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,-1.13,-0.54,-0.71,1.45,-0.32,1.28,-1.28,-1.69,-0.8,-0.03,0.17,-0.17,-0.62,2.09,-0.39,-0.46,-1.45,0.24,1.69,1.28,1.28,0.24,1343,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,-1.13,-0.54,-0.71,1.45,-0.32,1.28,-1.28,-1.69,-0.8,-0.03,0.17,-0.17,-0.62,2.09,-0.39,-0.46,-1.45,0.24,1.69,1.28,1.28,0.24,1344,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,-1.13,-0.62,-0.71,1.69,-0.39,1.13,-1.28,-2.09,-0.9,-0.1,0.1,-0.03,-0.54,2.09,-0.32,-0.46,-0.9,0.32,1.69,1.28,1.28,0.1,1351,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,-1.01,-0.62,-0.54,1.69,-0.32,1.13,-1.28,-2.09,-0.9,0.1,-0.03,0.03,-0.8,2.09,-0.46,-0.39,-1.01,0.17,1.69,1.28,1.28,0.03,1353,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,-1.01,-0.62,-0.54,1.69,-0.32,1.13,-1.28,-1.69,-0.9,0.17,-0.03,0.03,-0.8,2.09,-0.39,-0.46,-1.45,0.03,1.69,1.01,1.28,-0.32,1357,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,-1.01,-0.62,-0.54,1.69,-0.32,1.13,-1.28,-2.09,-0.9,0.1,-0.03,0.03,-0.8,2.09,-0.46,-0.39,-1.01,0.17,1.69,1.28,1.28,0.03,1358,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,-1.13,-0.62,-0.71,1.69,-0.39,1.13,-1.28,-2.09,-0.9,-0.1,0.1,-0.03,-0.54,2.09,-0.32,-0.46,-0.9,0.32,1.69,1.28,1.28,0.1,1359,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,-1.13,-0.54,-0.71,1.45,-0.32,1.28,-1.28,-1.69,-0.8,-0.03,0.17,-0.17,-0.62,2.09,-0.39,-0.46,-1.45,0.24,1.69,1.28,1.28,0.24,1360,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,-1.13,-0.54,-0.71,1.45,-0.32,1.28,-1.28,-1.69,-0.8,-0.03,0.17,-0.17,-0.62,2.09,-0.39,-0.46,-1.45,0.24,1.69,1.28,1.28,0.24,1361,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,-1.13,-0.54,-0.71,1.45,-0.32,1.28,-1.28,-1.69,-0.8,-0.03,0.17,-0.17,-0.62,2.09,-0.39,-0.46,-1.45,0.24,1.69,1.28,1.28,0.24,1386,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,-1.01,-0.62,-0.54,1.69,-0.32,1.13,-1.28,-2.09,-0.9,0.1,-0.03,0.03,-0.8,2.09,-0.46,-0.39,-1.01,0.17,1.69,1.28,1.28,0.03,1402,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,-1.13,-0.54,-0.71,1.45,-0.32,1.28,-1.28,-1.69,-0.8,-0.03,0.17,-0.17,-0.62,2.09,-0.39,-0.46,-1.45,0.24,1.69,1.28,1.28,0.24,1411,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,-1.13,-0.62,-0.71,1.69,-0.39,1.13,-1.28,-2.09,-0.9,-0.1,0.1,-0.03,-0.54,2.09,-0.32,-0.46,-0.9,0.32,1.69,1.28,1.28,0.1,1424,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,-1.13,-0.62,-0.71,1.69,-0.39,1.13,-1.28,-2.09,-0.9,-0.1,0.1,-0.03,-0.54,2.09,-0.32,-0.46,-0.9,0.32,1.69,1.28,1.28,0.1,1660,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,-1.01,-0.62,-0.54,1.69,-0.32,1.13,-1.28,-2.09,-0.9,0.1,-0.03,0.03,-0.8,2.09,-0.46,-0.39,-1.01,0.17,1.69,1.28,1.28,0.03,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,-1.13,-0.62,-0.71,1.69,-0.39,1.13,-1.28,-2.09,-0.9,-0.1,0.1,-0.03,-0.54,2.09,-0.32,-0.46,-0.9,0.32,1.69,1.28,1.28,0.1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,-1.13,-0.54,-0.71,1.45,-0.32,1.28,-1.28,-1.69,-0.8,-0.03,0.17,-0.17,-0.62,2.09,-0.39,-0.46,-1.45,0.24,1.69,1.28,1.28,0.24,2091,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,-1.13,-0.54,-0.71,1.45,-0.32,1.28,-1.28,-1.69,-0.8,-0.03,0.17,-0.17,-0.62,2.09,-0.39,-0.46,-1.45,0.24,1.69,1.28,1.28,0.24,2276,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,-1.13,-0.54,-0.71,1.45,-0.32,1.28,-1.28,-1.69,-0.8,-0.03,0.17,-0.17,-0.62,2.09,-0.39,-0.46,-1.45,0.24,1.69,1.28,1.28,0.24,2281,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,-1.13,-0.54,-0.71,1.45,-0.32,1.28,-1.28,-1.69,-0.8,-0.03,0.17,-0.17,-0.62,2.09,-0.39,-0.46,-1.45,0.24,1.69,1.28,1.28,0.24,2282,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,-1.13,-0.54,-0.71,1.45,-0.32,1.28,-1.28,-1.69,-0.8,-0.03,0.17,-0.17,-0.62,2.09,-0.39,-0.46,-1.45,0.24,1.69,1.28,1.28,0.24,2283,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,-1.13,-0.54,-0.71,1.45,-0.32,1.28,-1.28,-1.69,-0.8,-0.03,0.17,-0.17,-0.62,2.09,-0.39,-0.46,-1.45,0.24,1.69,1.28,1.28,0.24,2284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,-1.13,-0.54,-0.71,1.45,-0.32,1.28,-1.28,-1.69,-0.8,-0.03,0.17,-0.17,-0.62,2.09,-0.39,-0.46,-1.45,0.24,1.69,1.28,1.28,0.24,2287,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,-1.13,-0.54,-0.71,1.45,-0.32,1.28,-1.28,-1.69,-0.8,-0.03,0.17,-0.17,-0.62,2.09,-0.39,-0.46,-1.45,0.24,1.69,1.28,1.28,0.24,2288,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,-1.13,-0.54,-0.71,1.45,-0.32,1.28,-1.28,-1.69,-0.8,-0.03,0.17,-0.17,-0.62,2.09,-0.39,-0.46,-1.45,0.24,1.69,1.28,1.28,0.24,2289,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,-1.13,-0.54,-0.71,1.45,-0.32,1.28,-1.28,-1.69,-0.8,-0.03,0.17,-0.17,-0.62,2.09,-0.39,-0.46,-1.45,0.24,1.69,1.28,1.28,0.24,2553,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0,-1.13,-0.54,-0.71,1.45,-0.32,1.28,-1.28,-1.69,-0.8,-0.03,0.17,-0.17,-0.62,2.09,-0.39,-0.46,-1.45,0.24,1.69,1.28,1.28,0.24,5069,"{""type"":""MultiPoint"",""coordinates"":[]}"
