system:index,20000708_spei2y,20010709_spei2y,20020709_spei2y,20030709_spei2y,20040708_spei2y,20050709_spei2y,20060709_spei2y,20070709_spei2y,20080708_spei2y,20090709_spei2y,20100709_spei2y,20110709_spei2y,20120708_spei2y,20130709_spei2y,20140709_spei2y,20150709_spei2y,20160708_spei2y,20170709_spei2y,20180709_spei2y,20190709_spei2y,20200708_spei2y,20210709_spei2y,new_flag1,.geo
00000000000000000005_0,-0.9,-1.01,-1.28,0.1,0.9,1.13,0.03,-1.13,-2.09,-1.45,-0.03,0.24,-0.71,0.17,2.09,-0.32,-0.1,0.71,0.71,2.09,2.09,2.09,2464,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,-1.01,-1.69,-1.13,0.03,0.9,1.69,1.01,-0.8,-2.09,-0.9,0.17,0.32,-0.54,0.63,2.09,-0.17,-0.46,-0.39,0.03,2.09,2.09,1.69,1270,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,-1.01,-1.69,-1.13,0.03,0.9,1.69,1.01,-0.8,-2.09,-0.9,0.17,0.32,-0.54,0.63,2.09,-0.17,-0.46,-0.39,0.03,2.09,2.09,1.69,1339,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,-1.01,-1.69,-1.13,0.03,0.9,1.69,1.01,-0.8,-2.09,-0.9,0.17,0.32,-0.54,0.63,2.09,-0.17,-0.46,-0.39,0.03,2.09,2.09,1.69,1343,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,-1.01,-1.69,-1.13,0.03,0.9,1.69,1.01,-0.8,-2.09,-0.9,0.17,0.32,-0.54,0.63,2.09,-0.17,-0.46,-0.39,0.03,2.09,2.09,1.69,1344,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,-0.9,-2.09,-1.13,0.03,1.01,1.69,0.71,-0.8,-1.69,-1.01,0.1,0.32,-0.54,0.47,2.09,-0.17,-0.32,-0.17,0.17,2.09,2.09,2.09,1351,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,-1.01,-1.69,-1.45,0.17,1.69,2.09,0.71,-0.71,-1.28,-0.9,0.32,0.24,-0.54,0.54,1.45,-0.24,-0.32,-0.24,0.32,2.09,2.09,1.45,1353,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,-1.01,-1.45,-1.69,0.17,1.69,2.09,0.71,-0.62,-1.13,-0.8,0.39,0.24,-0.54,0.47,1.01,-0.24,-0.39,-0.32,0.03,2.09,2.09,0.8,1357,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,-1.01,-1.69,-1.45,0.17,1.69,2.09,0.71,-0.71,-1.28,-0.9,0.32,0.24,-0.54,0.54,1.45,-0.24,-0.32,-0.24,0.32,2.09,2.09,1.45,1358,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,-0.9,-2.09,-1.13,0.03,1.01,1.69,0.71,-0.8,-1.69,-1.01,0.1,0.32,-0.54,0.47,2.09,-0.17,-0.32,-0.17,0.17,2.09,2.09,2.09,1359,"{""type"":""MultiPoint"",""coordinates"":[]}"
